worker,op,code,latency_ms
20,read,200,159.25
20,read,200,106.01
8,read,200,105.7
8,read,200,161.47
12,read,200,103.04
12,read,200,104.54
7,read,200,105.56
7,read,200,150.63
9,read,200,103.55
9,read,200,110.97
3,read,200,108.01
3,read,200,128.48
14,read,200,107.07
14,read,200,138.02
22,read,200,191.36
22,read,200,112.48
29,read,200,169.93
29,read,200,175.38
16,read,200,152.12
16,read,200,88.47
